120.30	-76.50	-48.90
129.90	-59.70	-50.70
127.50	-21.30	-53.70
139.50	19.50	-55.50
144.30	26.70	-59.10
134.70	9.90	-57.90
141.90	17.10	-59.10
132.30	7.50	-57.30
129.90	19.50	-54.90
168.30	19.50	-39.90
144.30	-9.30	-11.10
57.90	-30.90	9.90
-14.10	-78.90	11.10
-117.30	-150.90	-6.90
-143.70	-162.90	-27.30
-184.50	-148.50	-49.50
-155.70	-40.50	-86.70
-107.70	48.30	-92.70
-9.30	165.90	-84.90
77.10	153.90	-73.50
129.90	134.70	-60.90
141.90	110.70	-53.10
156.30	79.50	-54.30
161.10	67.50	-48.30
170.70	69.90	-45.90
168.30	74.70	-36.90
163.50	67.50	-33.90
163.50	69.90	-33.90
161.10	72.30	-50.70
103.50	113.10	-75.30
79.50	120.30	-77.10
132.30	19.50	-62.10
134.70	-45.30	-50.70
115.50	-74.10	-36.90
115.50	-62.10	-26.10
122.70	-52.50	-27.30
65.10	-81.30	-61.50
60.30	-71.70	-65.70
77.10	-74.10	-59.10
74.70	-86.10	-52.50
65.10	-90.90	-51.90
89.10	-74.10	-53.10
103.50	-74.10	-48.30
103.50	-71.70	-50.10
127.50	-47.70	-45.30
122.70	-28.50	-40.50
127.50	-28.50	-28.50
139.50	-26.10	-12.90
120.30	9.90	-7.50
139.50	62.70	-8.70
153.90	117.90	-18.90
144.30	149.10	-29.10
127.50	146.70	-41.70
146.70	122.70	-50.70
139.50	91.50	-60.90
115.50	55.50	-63.90
110.70	14.70	-68.10
101.10	-23.70	-67.50
113.10	-21.30	-64.50
117.90	-42.90	-53.10
141.90	-59.70	-47.10
120.30	-42.90	-48.90
115.50	2.70	-63.90
108.30	72.30	-75.30
96.30	156.30	-68.10
108.30	211.50	-51.90
108.30	237.90	-42.90
129.90	211.50	-33.90
139.50	173.10	-18.90
134.70	113.10	-11.10
137.10	55.50	-8.10
132.30	0.30	-12.30
139.50	-28.50	-15.30
144.30	-18.90	-34.50
141.90	-38.10	-36.30
144.30	9.90	-54.30
156.30	77.10	-59.70
137.10	60.30	-59.70
144.30	-21.30	-50.10
149.10	-45.30	-32.10
134.70	-11.70	-21.30
151.50	36.30	-15.30
153.90	101.10	-18.30
151.50	115.50	-24.30
168.30	108.30	-32.10
161.10	98.70	-36.30
139.50	60.30	-56.70
117.90	79.50	-62.70
122.70	48.30	-61.50
108.30	14.70	-66.90
98.70	-38.10	-61.50
113.10	-74.10	-47.10
