149.10	-30.90	-30.90
139.50	-30.90	-30.30
149.10	-26.10	-32.70
141.90	-23.70	-32.10
146.70	-16.50	-32.10
146.70	-18.90	-29.10
144.30	-23.70	-29.10
149.10	-35.70	-32.70
139.50	-21.30	-32.10
144.30	-40.50	-31.50
141.90	-26.10	-29.70
146.70	-35.70	-30.90
144.30	-35.70	-31.50
134.70	-42.90	-31.50
129.90	-35.70	-32.10
122.70	-26.10	-32.70
149.10	-26.10	-30.30
149.10	-21.30	-32.10
144.30	-9.30	-32.70
146.70	-26.10	-30.90
158.70	-26.10	-32.10
132.30	-38.10	-36.30
125.10	-38.10	-32.70
125.10	-23.70	-33.30
127.50	-35.70	-33.30
134.70	-38.10	-34.50
141.90	-23.70	-33.30
134.70	-21.30	-43.50
120.30	-33.30	-48.90
117.90	-35.70	-51.30
129.90	-28.50	-47.70
144.30	-28.50	-50.70
146.70	-38.10	-42.30
125.10	-38.10	-33.30
132.30	-28.50	-30.90
141.90	-38.10	-32.10
146.70	-28.50	-25.50
134.70	5.10	-14.70
134.70	50.70	-6.90
129.90	84.30	-6.30
122.70	161.10	-9.30
134.70	173.10	-14.70
117.90	189.90	-16.50
108.30	209.10	-20.10
98.70	235.50	-22.50
105.90	230.70	-30.30
79.50	240.30	-24.90
117.90	211.50	-25.50
110.70	201.90	-24.30
105.90	221.10	-25.50
89.10	233.10	-22.50
108.30	233.10	-29.10
103.50	240.30	-39.90
91.50	228.30	-57.90
96.30	185.10	-66.90
89.10	168.30	-68.70
120.30	113.10	-72.90
122.70	53.10	-68.70
125.10	17.10	-67.50
125.10	-2.10	-60.30
158.70	7.50	-53.70
149.10	-9.30	-47.10
153.90	-21.30	-42.90
163.50	2.70	-45.30
149.10	0.30	-52.50
144.30	26.70	-55.50
151.50	74.70	-60.30
108.30	173.10	-64.50
101.10	206.70	-60.90
89.10	242.70	-54.30
89.10	240.30	-48.90
79.50	264.30	-37.50
91.50	237.90	-26.10
120.30	199.50	-20.70
144.30	165.90	-20.70
165.90	132.30	-21.30
153.90	105.90	-24.30
141.90	84.30	-24.30
158.70	86.70	-22.50
173.10	57.90	-25.50
165.90	72.30	-28.50
158.70	105.90	-33.30
170.70	93.90	-32.10
170.70	50.70	-32.10
175.50	33.90	-28.50
168.30	33.90	-29.10
168.30	26.70	-30.30
149.10	31.50	-26.70
139.50	5.10	-16.50
146.70	0.30	-10.50
146.70	45.90	-9.30
141.90	89.10	-6.30
139.50	139.50	-6.30
139.50	151.50	-10.50
129.90	163.50	-13.50
132.30	173.10	-21.90
127.50	189.90	-33.90
129.90	206.70	-45.90
129.90	158.70	-59.10
151.50	115.50	-60.30
151.50	77.10	-59.70
144.30	26.70	-57.90
139.50	7.50	-54.30
163.50	-26.10	-45.30
149.10	-21.30	-33.90
153.90	-40.50	-27.90
144.30	-35.70	-25.50
137.10	-40.50	-27.30
161.10	-6.90	-35.10
151.50	9.90	-47.70
156.30	62.70	-62.10
117.90	120.30	-69.30
89.10	230.70	-56.70
79.50	264.30	-23.10
79.50	225.90	-4.50
110.70	161.10	-2.10
132.30	139.50	-6.30
132.30	132.30	-16.50
165.90	108.30	-20.10
165.90	93.90	-27.90
175.50	84.30	-32.70
180.30	57.90	-32.10
182.70	72.30	-25.50
144.30	96.30	-13.50
141.90	101.10	-6.90
125.10	120.30	-4.50
127.50	151.50	-12.30
144.30	151.50	-18.90
151.50	185.10	-26.10
132.30	201.90	-38.70
125.10	201.90	-52.50
113.10	180.30	-54.90
134.70	139.50	-56.10
146.70	86.70	-61.50
151.50	29.10	-61.50
129.90	0.30	-55.50
144.30	-6.90	-48.90
141.90	-30.90	-41.10
156.30	-28.50	-38.10
153.90	-35.70	-38.10
168.30	-18.90	-40.50
139.50	-38.10	-49.50
146.70	-16.50	-53.10
144.30	-14.10	-51.90
141.90	-23.70	-51.90
122.70	-21.30	-51.90
122.70	-57.30	-47.70
117.90	-81.30	-36.30
120.30	-74.10	-35.70
122.70	-66.90	-33.30
108.30	-66.90	-21.30
122.70	-47.70	-16.50
113.10	-47.70	-6.30
33.90	-71.70	6.90
-124.50	-90.90	13.50
-239.70	-83.70	2.10
-275.70	-54.90	-18.30
-309.30	-62.10	-32.10
-278.10	-86.10	-44.10
-249.30	-86.10	-59.70
-208.50	-52.50	-78.30
-134.10	-4.50	-86.70
-76.50	14.70	-89.10
-78.90	12.30	-89.70
-215.70	-57.30	-66.30
-230.10	-110.10	-15.90
-4.50	-119.70	-0.90
132.30	-52.50	-34.50
125.10	2.70	-61.50
-6.90	33.90	-89.10
-141.30	79.50	-90.30
-270.90	72.30	-75.30
-311.70	17.10	-54.30
-270.90	-90.90	-33.90
-244.50	-129.30	-24.90
-148.50	-150.90	-6.90
12.30	-124.50	-3.30
101.10	-76.50	-14.10
144.30	-52.50	-33.90
137.10	-30.90	-45.90
132.30	-42.90	-53.10
120.30	-23.70	-60.30
103.50	-2.10	-71.10
60.30	7.50	-80.10
45.90	0.30	-83.10
19.50	2.70	-84.30
-28.50	24.30	-89.10
-64.50	60.30	-92.70
-76.50	93.90	-93.30
-114.90	113.10	-90.90
-201.30	93.90	-86.70
-263.70	-9.30	-72.90
-254.10	-35.70	-68.10
-232.50	-45.30	-70.50
-227.70	-28.50	-77.10
-201.30	-26.10	-84.30
-170.10	5.10	-86.70
-153.30	17.10	-88.50
-148.50	19.50	-89.10
-138.90	5.10	-90.90
-141.30	21.90	-88.50
-141.30	21.90	-88.50
-160.50	14.70	-88.50
-138.90	17.10	-89.10
-136.50	19.50	-90.30
-131.70	29.10	-90.90
-129.30	12.30	-89.10
-141.30	24.30	-89.70
-138.90	19.50	-90.30
-138.90	14.70	-89.70
-136.50	21.90	-89.10
-148.50	21.90	-89.70
-160.50	12.30	-87.90
-148.50	17.10	-90.30
-143.70	17.10	-89.70
-148.50	12.30	-89.10
-141.30	24.30	-90.30
-124.50	21.90	-90.90
-129.30	21.90	-92.10
-129.30	12.30	-90.30
-148.50	-21.30	-86.10
-155.70	-30.90	-81.90
-162.90	-42.90	-78.90
-186.90	-23.70	-83.10
-165.30	9.90	-86.10
-148.50	31.50	-89.70
-64.50	48.30	-92.10
-9.30	115.50	-89.10
134.70	151.50	-53.70
177.90	41.10	-24.30
117.90	-47.70	-10.50
72.30	-50.10	3.90
50.70	-50.10	5.10
2.70	-88.50	5.70
-119.70	-100.50	9.90
-141.30	-114.90	7.50
-182.10	-119.70	-4.50
-234.90	-88.50	-3.30
-268.50	-105.30	-26.70
-244.50	-47.70	-65.70
-107.70	79.50	-91.50
74.70	81.90	-81.90
115.50	21.90	-62.10
156.30	19.50	-53.70
161.10	-6.90	-32.70
134.70	-45.30	-21.30
101.10	-59.70	-11.70
105.90	-38.10	-7.50
50.70	-47.70	8.70
-88.50	-98.10	7.50
-136.50	-122.10	5.10
-114.90	-124.50	6.30
-134.10	-122.10	3.90
-206.10	-126.90	-11.10
-263.70	-102.90	-36.30
-299.70	-21.30	-59.10
-285.30	50.70	-65.70
-302.10	38.70	-57.90
-304.50	-59.70	-39.90
-208.50	-148.50	-23.10
14.70	-162.90	-24.30
74.70	-107.70	-50.70
65.10	-45.30	-72.30
